Date,Recovered,Cumulative Recovered,Imported Case,Local Case,Active Case,New Case,Cumulative Case,ICU,Ventilator,Death,Cumulative Death,URL
27-06-20,14,8308,,,,10,8616,2,2,0,121,https://kpkesihatan.com/2020/06/27/kenyataan-akhbar-kpk-27-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
28-06-20,10,8318,,,,18,8634,2,2,0,121,https://kpkesihatan.com/2020/06/28/kenyataan-akhbar-kpk-28-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
29-06-20,16,8334,,,,3,8637,4,1,0,121,https://kpkesihatan.com/2020/06/29/kenyataan-akhbar-kpk-29-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
30-06-20,20,8354,,,,2,8639,4,1,0,121,https://kpkesihatan.com/2020/06/30/kenyataan-akhbar-kpk-30-jun-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
01-07-20,21,8375,,,,1,8640,4,2,0,121,https://kpkesihatan.com/2020/07/01/kenyataan-akhbar-kpk-1-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
02-07-20,62,8437,,,,3,8643,2,0,0,121,https://kpkesihatan.com/2020/07/02/kenyataan-akhbar-kpk-2-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
03-07-20,9,8446,,,,5,8648,2,0,0,121,https://kpkesihatan.com/2020/07/03/kenyataan-akhbar-kpk-3-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
04-07-20,15,8461,,,,10,8658,2,0,0,121,https://kpkesihatan.com/2020/07/04/kenyataan-akhbar-kpk-4-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
05-07-20,4,8465,,,,5,8663,2,0,0,121,https://kpkesihatan.com/2020/07/05/kenyataan-akhbar-kpk-5-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
06-07-20,11,8476,,,,5,8668,2,0,0,121,https://kpkesihatan.com/2020/07/06/kenyataan-akhbar-kpk-6-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
07-07-20,5,8481,,,,6,8674,2,0,0,121,https://kpkesihatan.com/2020/07/07/kenyataan-akhbar-kpk-7-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
08-07-20,5,8486,,,,3,8677,2,1,0,121,https://kpkesihatan.com/2020/07/08/kenyataan-akhbar-kpk-8-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
09-07-20,13,8499,,,,6,8683,2,1,0,121,https://kpkesihatan.com/2020/07/09/kenyataan-akhbar-kpk-9-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
10-07-20,12,8511,,,,13,8696,2,2,0,121,https://kpkesihatan.com/2020/07/10/kenyataan-akhbar-kpk-10-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
11-07-20,4,8515,,,,8,8704,3,2,1,122,https://kpkesihatan.com/2020/07/11/kenyataan-akhbar-kpk-11-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
12-07-20,4,8519,,,,14,8718,3,2,0,122,https://kpkesihatan.com/2020/07/12/kenyataan-akhbar-kpk-12-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
13-07-20,1,8520,,,,7,8725,4,3,0,122,https://kpkesihatan.com/2020/07/13/kenyataan-akhbar-kpk-13-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
14-07-20,4,8524,,,,4,8729,6,2,0,122,https://kpkesihatan.com/2020/07/14/kenyataan-akhbar-kpk-14-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
15-07-20,2,8526,,,,5,8734,5,1,0,122,https://kpkesihatan.com/2020/07/15/kenyataan-akhbar-kpk-15-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
16-07-20,12,8538,,,,3,8737,3,1,0,122,https://kpkesihatan.com/2020/07/16/kenyataan-akhbar-kkm-16-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
17-07-20,3,8541,,,,18,8755,3,3,0,122,https://kpkesihatan.com/2020/07/17/kenyataan-akhbar-kpk-17-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
18-07-20,5,8546,,,,9,8764,1,1,0,122,https://kpkesihatan.com/2020/07/18/kenyataan-akhbar-kpk-18-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
19-07-20,7,8553,,,,15,8779,2,1,1,123,https://kpkesihatan.com/2020/07/19/kenyataan-akhbar-kpk-19-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
20-07-20,2,8555,,,,21,8800,3,1,0,123,https://kpkesihatan.com/2020/07/20/kenyataan-akhbar-kpk-20-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
21-07-20,7,8562,,,,15,8815,4,1,0,123,https://kpkesihatan.com/2020/07/21/kenyataan-akhbar-kpk-21-julai-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
